
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.878788  0.446446  0 
-0.876168  0.45045  0 
-0.873525  0.454454  0 
-0.870859  0.458458  0 
-0.868687  0.461691  0 
-0.868075  0.462462  0 
-0.864869  0.466466  0 
-0.861635  0.47047  0 
-0.858374  0.474474  0 
-0.855085  0.478478  0 
-0.851769  0.482482  0 
-0.848425  0.486486  0 
-0.845053  0.49049  0 
-0.841654  0.494494  0 
-0.838227  0.498498  0 

-0.961897 -0.266266  0 
-0.963059 -0.262262  0 
-0.964203 -0.258258  0 
-0.96533 -0.254254  0 
-0.966439 -0.25025  0 
-0.967531 -0.246246  0 
-0.968605 -0.242242  0 
-0.969661 -0.238238  0 
-0.9707 -0.234234  0 
-0.971721 -0.23023  0 
-0.972724 -0.226226  0 
-0.97371 -0.222222  0 
-0.974678 -0.218218  0 
-0.975629 -0.214214  0 
-0.976562 -0.21021  0 
-0.977477 -0.206206  0 
-0.978375 -0.202202  0 
-0.979255 -0.198198  0 
-0.980118 -0.194194  0 
-0.980963 -0.19019  0 
-0.981791 -0.186186  0 
-0.9826 -0.182182  0 
-0.983393 -0.178178  0 
-0.984167 -0.174174  0 
-0.984924 -0.17017  0 
-0.985664 -0.166166  0 
-0.986385 -0.162162  0 
-0.98709 -0.158158  0 
-0.987776 -0.154154  0 
-0.988445 -0.15015  0 
-0.989096 -0.146146  0 
-0.98973 -0.142142  0 
-0.989899 -0.141045  0 
-0.990294 -0.138138  0 
-0.990823 -0.134134  0 
-0.991336 -0.13013  0 
-0.991834 -0.126126  0 
-0.992316 -0.122122  0 
-0.992783 -0.118118  0 
-0.993234 -0.114114  0 
-0.99367 -0.11011  0 
-0.99409 -0.106106  0 
-0.994494 -0.102102  0 
-0.994883 -0.0980981  0 
-0.995256 -0.0940941  0 
-0.995614 -0.0900901  0 
-0.995956 -0.0860861  0 
-0.996283 -0.0820821  0 
-0.996594 -0.0780781  0 
-0.99689 -0.0740741  0 
-0.99717 -0.0700701  0 
-0.997434 -0.0660661  0 
-0.997683 -0.0620621  0 
-0.997916 -0.0580581  0 
-0.998134 -0.0540541  0 
-0.998336 -0.0500501  0 
-0.998523 -0.046046  0 
-0.998694 -0.042042  0 
-0.99885 -0.038038  0 
-0.99899 -0.034034  0 
-0.999114 -0.03003  0 
-0.999223 -0.026026  0 
-0.999316 -0.022022  0 
-0.999394 -0.018018  0 
-0.999456 -0.014014  0 
-0.999503 -0.01001  0 
-0.999534 -0.00600601  0 
-0.99955 -0.002002  0 
-0.99955  0.002002  0 
-0.999534  0.00600601  0 
-0.999503  0.01001  0 
-0.999456  0.014014  0 
-0.999394  0.018018  0 
-0.999316  0.022022  0 
-0.999223  0.026026  0 
-0.999114  0.03003  0 
-0.99899  0.034034  0 
-0.99885  0.038038  0 
-0.998694  0.042042  0 
-0.998523  0.046046  0 
-0.998336  0.0500501  0 
-0.998134  0.0540541  0 
-0.997916  0.0580581  0 
-0.997683  0.0620621  0 
-0.997434  0.0660661  0 
-0.99717  0.0700701  0 
-0.99689  0.0740741  0 
-0.996594  0.0780781  0 
-0.996283  0.0820821  0 
-0.995956  0.0860861  0 
-0.995614  0.0900901  0 
-0.995256  0.0940941  0 
-0.994883  0.0980981  0 
-0.994494  0.102102  0 
-0.99409  0.106106  0 
-0.99367  0.11011  0 
-0.993234  0.114114  0 
-0.992783  0.118118  0 
-0.992316  0.122122  0 

